,Hbond,atom1,atom2,bond_length,crystal
279,OH,O38,H104,2.086972184086229,K
280,OH,O38,H106,1.9917261662890369,K
281,OH,O38,H108,2.6986386039895014,K
282,OH,O38,H110,3.3212452186493637,K
283,OH,O38,H114,2.5053568129046306,K
284,OH,O38,H116,2.118289931391404,K
285,OH,O38,H118,2.086436891002069,K
286,OH,O38,H120,2.1000449754073305,K
287,OH,O38,H132,3.1060850495573873,K
288,OH,O41,H93,3.204301483063491,K
289,OH,O41,H113,2.6241496206486974,K
290,OH,O42,H94,3.2043016697881574,K
291,OH,O42,H114,2.6241496206488977,K
292,OH,O43,H100,3.1913311442107672,K
293,OH,O43,H103,3.0866726022596622,K
294,OH,O43,H117,3.247487255686907,K
295,OH,O43,H121,2.044576819669673,K
296,OH,O43,H123,2.032498307450828,K
297,OH,O43,H125,3.3489830833744003,K
298,OH,O43,H127,2.6384315690240276,K
299,OH,O43,H129,3.431368814050534,K
300,OH,O43,H131,2.5622545671159926,K
301,OH,O43,H133,2.0369276244115553,K
302,OH,O43,H135,1.9891017718971569,K
303,OH,O43,H136,2.726700786934168,K
304,OH,O43,H137,2.112804500173992,K
305,OH,O44,H99,3.19133128671208,K
306,OH,O44,H104,3.0866726011699854,K
307,OH,O44,H118,3.2474872433179915,K
308,OH,O44,H122,2.0445769111275505,K
309,OH,O44,H124,2.032498205758803,K
310,OH,O44,H126,3.348982725608925,K
311,OH,O44,H128,2.638431599767108,K
312,OH,O44,H130,3.4313685214216125,K
313,OH,O44,H132,2.562254237062178,K
314,OH,O44,H134,2.036927602393491,K
315,OH,O44,H135,2.726700971796722,K
316,OH,O44,H136,1.98910161446256,K
317,OH,O44,H138,2.1128044316527737,K
318,OH,O45,H91,2.498923384272599,K
319,OH,O45,H115,2.624673683851935,K
320,OH,O45,H129,3.2243763126951435,K
321,OH,O45,H131,2.7795433859972363,K
322,OH,O46,H92,2.498923519926702,K
323,OH,O46,H116,2.6246739499769336,K
324,OH,O46,H130,3.2243762979464594,K
325,OH,O46,H132,2.779543597705601,K
326,OH,O47,H97,3.0909207800067446,K
327,OH,O47,H105,3.2669872558487607,K
